STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
36,005,006400,3967,+40.833100,-073.871883
36,005,006500,5337,+40.818208,-073.921792
36,005,006700,6984,+40.819698,-073.918139
36,005,006800,2897,+40.828881,-073.870372
36,005,006900,7564,+40.822056,-073.916280
36,005,007000,4584,+40.829803,-073.865658
36,005,007100,1907,+40.819465,-073.911472
36,005,007200,5432,+40.831004,-073.860685
36,005,007300,3893,+40.814707,-073.909202
36,005,007400,3710,+40.819370,-073.852836
36,005,007500,4869,+40.818360,-073.908615
36,005,007600,5190,+40.833344,-073.868136
36,005,007700,1927,+40.819821,-073.904767
36,005,007800,6418,+40.829354,-073.853632
36,005,007900,6733,+40.815912,-073.904872
36,005,008300,6155,+40.813900,-073.901830
36,005,008400,2374,+40.815614,-073.848193
36,005,008500,5457,+40.816095,-073.898777
36,005,008600,4176,+40.819475,-073.849711
36,005,008700,5466,+40.820078,-073.896574
36,005,008900,3177,+40.818596,-073.893957
36,005,009000,3667,+40.819559,-073.846007
36,005,009200,5017,+40.832443,-073.851496
36,005,009300,6356,+40.813285,-073.887581
36,005,009600,2594,+40.833748,-073.846015
36,005,009800,5038,+40.825306,-073.850971
36,005,011000,151,+40.817881,-073.823792
36,005,011502,4340,+40.818715,-073.887133
36,005,011700,1585,+40.815905,-073.886182
36,005,011800,5089,+40.813549,-073.806451
36,005,011900,5698,+40.823319,-073.889775
36,005,012101,3090,+40.828099,-073.889072
36,005,012102,1631,+40.825922,-073.888100
36,005,012300,4152,+40.830537,-073.889135
36,005,012500,3905,+40.828777,-073.893541
36,005,012701,2253,+40.825798,-073.891624
36,005,012901,4015,+40.822470,-073.899134
36,005,013000,1032,+40.819030,-073.814159
36,005,013100,5103,+40.825915,-073.897760
36,005,013200,5890,+40.815619,-073.821330
36,005,013300,6384,+40.822944,-073.903828
36,005,013500,3583,+40.827099,-073.902048
36,005,013800,3042,+40.822015,-073.808717
36,005,014100,3437,+40.823601,-073.912407
36,005,014300,1003,+40.829200,-073.911872
36,005,014400,5880,+40.821175,-073.823482
36,005,014500,5816,+40.831776,-073.906757
36,005,014701,6461,+40.834365,-073.905875
36,005,014702,5110,+40.836637,-073.904869
36,005,014900,4591,+40.832376,-073.901624
36,005,015100,5409,+40.831055,-073.898588
36,005,015200,2341,+40.826605,-073.824825
36,005,015300,4031,+40.833030,-073.894952
36,005,015500,3005,+40.836624,-073.889258
36,005,015700,3580,+40.833262,-073.887496
36,005,015800,1206,+40.825023,-073.818744
36,005,015900,2164,+40.822411,-073.893385
36,005,016000,3767,+40.831317,-073.817474
36,005,016100,4380,+40.836231,-073.885841
36,005,016200,1769,+40.828903,-073.821436
36,005,016300,0,+40.838574,-073.895007
36,005,016400,1141,+40.832219,-073.824797
36,005,016500,1077,+40.843463,-073.900943
36,005,016600,2166,+40.829857,-073.829664
36,005,016700,2047,+40.839985,-073.901162
36,005,016900,1663,+40.837322,-073.902044
36,005,017100,0,+40.840371,-073.907509
36,005,017300,5987,+40.825821,-073.916841
36,005,017500,6911,+40.830695,-073.913645
36,005,017701,4294,+40.833258,-073.911102
36,005,017702,4805,+40.836222,-073.909815
36,005,017901,4677,+40.834888,-073.915381
36,005,017902,3587,+40.837080,-073.913855
36,005,018101,3300,+40.831824,-073.916070
36,005,018102,5555,+40.832327,-073.917994
36,005,018301,4525,+40.828793,-073.920752
36,005,018302,3647,+40.828622,-073.918872
36,005,018400,3855,+40.837764,-073.829462
36,005,018500,7466,+40.826815,-073.906737
36,005,018900,7752,+40.832258,-073.928834
36,005,019300,5461,+40.835829,-073.927507
36,005,019400,1903,+40.836591,-073.835744
36,005,019500,7756,+40.831164,-073.922273
36,005,019700,7501,+40.834897,-073.919754
36,005,019900,8154,+40.836659,-073.925324
36,005,020000,4878,+40.840943,-073.845864
36,005,020100,4013,+40.841564,-073.925795
36,005,020200,2155,+40.838428,-073.847659
36,005,020400,2976,+40.841031,-073.851047
36,005,020501,6996,+40.847642,-073.922567
36,005,020502,1764,+40.851379,-073.919003
36,005,020601,3050,+40.836422,-073.850377
36,005,020900,4361,+40.842810,-073.914257
36,005,021001,8521,+40.840584,-073.859054
36,005,021002,6839,+40.838631,-073.856774
36,005,021100,5565,+40.840518,-073.923535
36,005,021200,5267,+40.835917,-073.858590
36,005,021301,1201,+40.845678,-073.919625
36,005,021302,5415,+40.842653,-073.920211
36,005,021501,3506,+40.849682,-073.918002
36,005,021502,6051,+40.847849,-073.916785
36,005,021601,4206,+40.838335,-073.864839
36,005,021602,5769,+40.837538,-073.862108
36,005,021700,5334,+40.847824,-073.913685
36,005,021800,6499,+40.837543,-073.867878
36,005,021900,1367,+40.840549,-073.918815
36,005,022000,1487,+40.841153,-073.874077
36,005,022101,3849,+40.838311,-073.917959
36,005,022102,5488,+40.837735,-073.916026
36,005,022200,3425,+40.835471,-073.855280
36,005,022300,5047,+40.840592,-073.914910
36,005,022401,2708,+40.854863,-073.868741
36,005,022403,3188,+40.855563,-073.866020
36,005,022404,4509,+40.852497,-073.866213
36,005,022500,7698,+40.840526,-073.911159
36,005,022701,5196,+40.847079,-073.910473
36,005,022702,1699,+40.844304,-073.912967
36,005,022703,1556,+40.844212,-073.910410
36,005,022800,6218,+40.854299,-073.863660
36,005,022901,5370,+40.846222,-073.906982
36,005,022902,3273,+40.843654,-073.907233
36,005,023000,2950,+40.849234,-073.866092
36,005,023100,1537,+40.846460,-073.903487
36,005,023200,2661,+40.846891,-073.863739
36,005,023301,4377,+40.849363,-073.908435
36,005,023302,3415,+40.848131,-073.904958
36,005,023501,3341,+40.852534,-073.904249
36,005,023502,4386,+40.850809,-073.903739
36,005,023600,1907,+40.845092,-073.867255
36,005,023702,1241,+40.860153,-073.897357
36,005,023703,5253,+40.859710,-073.899882
36,005,023704,3758,+40.856188,-073.901922
36,005,023800,2615,+40.844734,-073.862861
36,005,023900,8348,+40.858672,-073.902800
36,005,024000,3882,+40.842029,-073.868766
36,005,024100,6182,+40.853024,-073.905955
36,005,024300,5685,+40.852330,-073.911408
36,005,024400,2120,+40.846505,-073.857596
36,005,024501,4864,+40.852798,-073.915612
36,005,024502,3640,+40.855000,-073.913398
36,005,024600,2058,+40.851943,-073.861093
36,005,024700,1764,+40.855485,-073.917337
36,005,024800,3363,+40.854968,-073.858791
36,005,024900,0,+40.857437,-073.913141
36,005,025000,2383,+40.851710,-073.855735
36,005,025100,6802,+40.856731,-073.907465
36,005,025200,2530,+40.847186,-073.855047
36,005,025300,6332,+40.860935,-073.904634
36,005,025400,1959,+40.848613,-073.852670
36,005,025500,6529,+40.861017,-073.908257
36,005,025600,1663,+40.844808,-073.849800
36,005,025700,1912,+40.860538,-073.913056
36,005,026100,1932,+40.866650,-073.905880
36,005,026300,6984,+40.865056,-073.904021
36,005,026400,4935,+40.841823,-073.832241
36,005,026500,6942,+40.865363,-073.901230
36,005,026601,2911,+40.847128,-073.834012
36,005,026602,5301,+40.846229,-073.829978
36,005,026701,4037,+40.869409,-073.901406
36,005,026702,7040,+40.872088,-073.900012
36,005,026900,3777,+40.870054,-073.905568
36,005,027300,7942,+40.873592,-073.903154
36,005,027401,4785,+40.840930,-073.822121
36,005,027402,3386,+40.843079,-073.817863
36,005,027600,473,+40.857929,-073.821896
36,005,027700,5065,+40.878494,-073.901294
36,005,027900,6966,+40.882535,-073.896800
36,005,028100,3794,+40.883884,-073.891079
36,005,028300,3149,+40.879110,-073.903913
36,005,028400,894,+40.847658,-073.838891
36,005,028500,3307,+40.886063,-073.903559
36,005,028600,1191,+40.848758,-073.848491
36,005,028700,3178,+40.882355,-073.904418
36,005,028800,3097,+40.854539,-073.852133
36,005,028900,4502,+40.879557,-073.906603
36,005,029301,1875,+40.881760,-073.920972
36,005,029302,5052,+40.879202,-073.916061
36,005,029500,4240,+40.885333,-073.908222
36,005,029600,2549,+40.855286,-073.843840
36,005,029700,3554,+40.885274,-073.911666
36,005,030000,5838,+40.852260,-073.831044
36,005,030100,1304,+40.882701,-073.917926
36,005,030200,8887,+40.864050,-073.822961
36,005,030701,5378,+40.890294,-073.911206
36,005,030900,3891,+40.897002,-073.913418
36,005,031000,4415,+40.861112,-073.835934
36,005,031200,1524,+40.862324,-073.842434
36,005,031400,1966,+40.861571,-073.845412
36,005,031600,1863,+40.862148,-073.848737
36,005,031800,1810,+40.861887,-073.851570
36,005,031900,751,+40.913123,-073.905790
36,005,032300,4904,+40.905895,-073.906184
36,005,032400,2957,+40.862694,-073.859651
36,005,032600,3154,+40.862388,-073.855512
36,005,032800,3979,+40.861189,-073.863344
36,005,033000,5696,+40.860995,-073.866023
36,005,033201,4115,+40.859539,-073.869538
36,005,033202,4167,+40.863474,-073.868971
36,005,033400,1351,+40.856461,-073.870621
36,005,033500,2178,+40.890421,-073.904620
36,005,033600,6188,+40.868228,-073.869206
36,005,033700,2357,+40.908305,-073.901859
36,005,033800,3818,+40.868838,-073.865500
36,005,034000,4618,+40.868296,-073.863193
36,005,034200,1675,+40.869064,-073.859848
36,005,034300,1649,+40.909488,-073.897689
36,005,034400,1736,+40.868252,-073.857128
36,005,034500,3566,+40.904239,-073.898549
36,005,034800,6129,+40.869368,-073.852840
36,005,035000,1925,+40.868516,-073.848351
36,005,035100,3186,+40.893943,-073.899142
36,005,035600,2027,+40.868686,-073.838435
36,005,035800,7166,+40.874126,-073.842681
36,005,035900,2061,+40.840763,-073.883845
36,005,036000,2706,+40.866880,-073.843712
36,005,036100,6019,+40.842552,-073.879643
36,005,036300,7509,+40.844802,-073.882167
36,005,036400,2557,+40.873812,-073.848814
36,005,036501,3965,+40.845378,-073.885729
36,005,036502,2423,+40.842588,-073.887592
36,005,036700,2599,+40.840531,-073.889449
36,005,036800,2011,+40.875542,-073.856624
36,005,036901,2005,+40.844631,-073.892018
36,005,036902,2119,+40.842672,-073.893316
36,005,037000,2303,+40.872972,-073.858904
36,005,037100,4241,+40.847313,-073.887514
36,005,037200,2222,+40.873024,-073.863650
36,005,037300,5318,+40.848734,-073.890208
36,005,037400,3441,+40.874760,-073.866295
36,005,037504,3677,+40.849390,-073.893490
36,005,037600,2148,+40.873652,-073.869116
36,005,037800,3048,+40.879860,-073.867089
36,005,037900,5093,+40.851734,-073.899289
36,005,038000,4585,+40.878034,-073.862096
36,005,038100,6382,+40.852732,-073.901135
36,005,038200,2596,+40.877434,-073.854969
36,005,038301,4797,+40.857271,-073.898443
36,005,038302,6106,+40.857099,-073.895389
36,005,038500,4758,+40.855699,-073.892396
36,005,038600,7409,+40.878984,-073.848739
36,005,038700,3216,+40.857030,-073.889100
36,005,038800,2606,+40.879593,-073.855350
36,005,038900,5325,+40.856116,-073.884717
36,005,039000,2975,+40.881176,-073.860678
36,005,039100,6992,+40.853294,-073.886953
36,005,039200,1781,+40.883483,-073.864991
36,005,039300,8143,+40.852385,-073.883315
36,005,039400,4573,+40.886556,-073.863788
36,005,039500,4146,+40.849265,-073.896596
36,005,039600,3756,+40.884409,-073.858971
36,005,039700,3702,+40.861104,-073.886101
36,005,039800,3090,+40.882864,-073.853728
36,005,039901,5228,+40.863576,-073.893297
36,005,039902,5279,+40.860323,-073.895036
36,005,040100,4593,+40.864320,-073.897390
36,005,040302,4386,+40.867892,-073.892155
36,005,040303,4478,+40.869692,-073.893539
36,005,040304,3794,+40.867666,-073.895183
36,005,040400,3016,+40.886089,-073.851403
36,005,040501,4397,+40.867133,-073.891106
36,005,040502,6863,+40.865754,-073.889225
36,005,040600,3490,+40.888052,-073.857033
36,005,040701,3347,+40.871474,-073.890299
36,005,040702,6652,+40.869481,-073.887377
36,005,040800,4263,+40.889930,-073.861905
36,005,040900,3637,+40.878475,-073.888313
36,005,041100,2931,+40.875404,-073.887201
36,005,041300,7384,+40.873857,-073.885265
36,005,041400,5027,+40.903050,-073.853285
36,005,041500,5461,+40.869976,-073.883568
36,005,041800,3598,+40.896736,-073.857528
36,005,041900,6734,+40.877248,-073.881139
36,005,042000,3850,+40.893073,-073.859367
36,005,042100,5922,+40.881750,-073.882253
36,005,042200,3086,+40.891032,-073.855442
36,005,042300,4100,+40.876853,-073.877160
36,005,042400,2481,+40.889247,-073.849513
36,005,042500,6793,+40.871806,-073.878479
36,005,042600,6387,+40.890947,-073.841769
36,005,042800,2173,+40.894331,-073.845683
36,005,042901,3420,+40.874589,-073.875309
36,005,042902,3845,+40.877243,-073.874139
36,005,043000,2898,+40.893397,-073.850751
36,005,043100,9680,+40.881845,-073.877045
36,005,043400,3592,+40.896715,-073.853726
36,005,043500,39,+40.887713,-073.867058
36,005,043600,2032,+40.897351,-073.849718
36,005,044200,3555,+40.904236,-073.846445
36,005,044400,3878,+40.899552,-073.844674
36,005,044800,2026,+40.895451,-073.841344
36,005,044901,1818,+40.897441,-073.873362
36,005,044902,1949,+40.898835,-073.869070
36,005,045101,1656,+40.897735,-073.864431
36,005,045102,1894,+40.900575,-073.864684
36,005,045600,2896,+40.890172,-073.828492
36,005,045800,6123,+40.885903,-073.845210
36,005,046000,2741,+40.882181,-073.843185
36,005,046201,26588,+40.875212,-073.828532
36,005,046202,8277,+40.877999,-073.835716
36,005,048400,3598,+40.885661,-073.835151
36,005,050400,39,+40.868858,-073.776389
36,005,051600,4362,+40.846946,-073.786788
36,007,000100,3220,+42.106823,-075.941408
36,007,000200,3188,+42.111129,-075.934185
36,007,000300,2975,+42.112241,-075.919043
36,007,000400,2356,+42.118742,-075.899134
36,007,000500,1969,+42.108460,-075.902659
36,007,000600,2296,+42.111903,-075.889118
36,007,000700,3684,+42.108971,-075.878405
36,007,000900,1762,+42.098673,-075.890948
36,007,001100,1689,+42.098023,-075.905451
36,007,001200,1173,+42.100711,-075.908809
36,007,001300,2762,+42.102364,-075.923306
36,007,001400,5074,+42.096244,-075.924698
36,007,001500,4672,+42.098839,-075.939513
36,007,001600,2389,+42.083996,-075.927383
36,007,001700,4081,+42.084236,-075.910051
36,007,001800,4086,+42.094113,-075.890419
36,007,010200,5377,+42.191321,-076.035286
36,007,011901,2946,+42.350168,-075.940617
36,007,011902,2732,+42.277009,-075.905153
36,007,011903,2751,+42.360665,-076.036637
36,007,012000,1672,+42.276982,-076.022189
36,007,012101,3817,+42.197637,-075.866112
36,007,012102,4024,+42.172719,-075.859755
36,007,012103,3411,+42.175416,-075.917007
36,007,012201,2521,+42.153543,-075.875299
36,007,012202,4153,+42.200770,-075.807798
36,007,012300,5232,+42.170700,-075.673209
36,007,012400,2407,+42.076045,-075.460611
36,007,012500,6274,+42.076079,-075.684361
36,007,012600,5857,+42.089844,-075.810607
36,007,012701,5441,+42.052777,-075.824830
36,007,012702,4942,+42.060517,-075.908429
36,007,012800,5278,+42.130352,-075.911537
36,007,012900,1532,+42.149054,-075.970884
36,007,013000,4391,+42.120519,-076.005609
36,007,013100,2617,+42.106247,-076.028784
36,007,013201,2269,+42.113110,-076.028668
36,007,013202,3189,+42.122066,-076.031389
36,007,013301,4979,+42.101936,-076.082161
36,007,013303,2768,+42.131626,-076.077611
36,007,013304,6039,+42.131122,-076.041263
36,007,013400,4337,+42.112082,-076.049565
36,007,013500,2018,+42.102135,-076.048012
36,007,013600,3738,+42.099036,-076.064383
36,007,013700,3299,+42.095298,-076.057075
36,007,013800,3475,+42.122936,-075.954907
36,007,013900,2352,+42.113971,-075.960846
36,007,014000,3118,+42.109795,-075.956357
36,007,014100,3449,+42.103650,-075.958764
36,007,014200,2776,+42.134896,-075.969995
36,007,014301,5305,+42.091374,-075.996599
36,007,014302,9094,+42.085892,-075.964352
36,007,014400,5064,+42.085727,-076.038621
36,007,014500,3315,+42.069819,-076.077774
36,007,014600,5265,+42.040400,-076.022306
36,009,940000,314,+42.500440,-078.990871
36,009,940200,0,+42.231045,-078.314009
36,009,940300,6490,+42.153578,-078.723652
36,009,960100,3520,+42.467973,-078.388797
36,009,960200,4629,+42.477518,-078.486705
36,009,960300,4625,+42.424773,-078.674301
36,009,960400,4402,+42.456336,-078.964783
36,009,960500,5253,+42.319393,-078.966852
36,009,960600,3427,+42.248055,-078.816085
36,009,960702,3134,+42.252761,-078.684031
36,009,960800,4296,+42.336088,-078.479606
36,009,961000,4558,+42.129161,-078.407831
36,009,961100,4122,+42.112435,-078.522215
36,009,961200,3635,+42.041949,-078.356221
36,009,961300,5287,+42.064918,-078.528783
36,009,961400,5189,+42.162458,-078.975538
36,009,961500,2279,+42.094063,-078.430847
36,009,961600,3955,+42.078816,-078.446079
36,009,961700,3545,+42.079845,-078.433741
36,009,961800,4673,+42.077274,-078.418407
36,009,962200,2984,+42.235441,-078.449244
36,011,040100,4700,+43.275829,-076.659842
36,011,040200,4743,+43.165211,-076.539404
36,011,040300,4197,+43.074290,-076.633292
36,011,040400,4464,+43.040052,-076.540750
36,011,040500,3267,+42.988913,-076.642776
36,011,040600,3595,+42.964123,-076.518714
36,011,040700,3793,+42.898197,-076.518950
36,011,040800,4820,+42.744123,-076.410683
36,011,040900,4063,+42.674539,-076.364247
36,011,041000,5189,+42.706784,-076.600992
36,011,041100,4349,+42.847120,-076.566359
36,011,041200,5159,+42.890415,-076.671696
36,011,041300,3898,+42.939809,-076.578280
36,011,041400,4879,+42.943239,-076.557399
36,011,041500,2890,+42.935762,-076.550981
36,011,041600,2544,+42.930480,-076.548904
36,011,041700,3987,+42.922499,-076.557826
36,011,041800,4677,+42.920291,-076.575172
36,011,042100,4812,+42.931832,-076.577306
36,011,990200,0,+43.537919,-076.687152
36,013,030100,4024,+42.109462,-079.223070
36,013,030200,4235,+42.107076,-079.235442
36,013,030300,2132,+42.102436,-079.244550
36,013,030400,4152,+42.093799,-079.258978
36,013,030500,3519,+42.095171,-079.238987
36,013,030600,3964,+42.095169,-079.221786
36,013,030700,4582,+42.083597,-079.229350
36,013,030800,4538,+42.084242,-079.247273
36,013,035100,4467,+42.545674,-079.155237
36,013,035300,2673,+42.484983,-079.241713
36,013,035400,2963,+42.480966,-079.319382
36,013,035500,2924,+42.490806,-079.322341
36,013,035600,3554,+42.480728,-079.341782
36,013,035700,3122,+42.474581,-079.330010
36,013,035800,3907,+42.443534,-079.324598
36,013,035901,5025,+42.439734,-079.341370
36,013,035902,2770,+42.449429,-079.340101
36,013,036000,4581,+42.424298,-079.345067
36,013,036100,5018,+42.338606,-079.190073
36,013,036300,4827,+42.386656,-079.451138
36,013,036401,2979,+42.232180,-079.503407
36,013,036402,3733,+42.296506,-079.392328
36,013,036500,4896,+42.316702,-079.579092
36,013,036600,3521,+42.212253,-079.709860
36,013,036700,4257,+42.082975,-079.615380
36,013,036800,4473,+42.086079,-079.432246
36,013,036901,2989,+42.208812,-079.288295
36,013,036902,3444,+42.149700,-079.352581
36,013,037000,3467,+42.052395,-079.301267
36,013,037100,3884,+42.099264,-079.327248
36,013,037200,3520,+42.096754,-079.278295
36,013,037300,5194,+42.123673,-079.215999
36,013,037400,3999,+42.168721,-079.116149
36,013,037500,4874,+42.050911,-079.159626
36,013,037600,2698,+42.486869,-079.137215
36,013,990000,0,+42.500658,-079.514116
36,015,000100,2943,+42.106022,-076.804307
36,015,000200,2807,+42.106640,-076.820076
36,015,000300,1788,+42.112845,-076.832348
36,015,000400,2208,+42.100379,-076.828120
36,015,000500,3090,+42.087044,-076.823239
36,015,000600,3732,+42.092868,-076.815512
36,015,000700,2439,+42.092277,-076.798261
36,015,000900,3730,+42.079462,-076.793240
36,015,001000,2922,+42.079613,-076.806943
36,015,001100,3541,+42.072583,-076.810367
36,015,010100,3519,+42.193608,-076.630280
36,015,010200,5931,+42.238420,-076.849838
36,015,010300,7731,+42.146083,-076.908454
36,015,010400,3599,+42.172857,-076.837465
36,015,010500,2817,+42.160793,-076.822580
36,015,010600,3068,+42.130462,-076.832652
36,015,010700,7426,+42.180186,-076.808984
36,015,010800,3742,+42.133213,-076.819233
36,015,010900,5112,+42.083776,-076.844812
36,015,011000,4050,+42.058497,-076.655104
36,015,011100,7241,+42.064656,-076.807701
36,015,011200,5394,+42.032230,-076.826162
36,017,970100,6077,+42.689417,-075.502053
36,017,970200,4622,+42.615163,-075.748070
36,017,970300,4067,+42.532645,-075.526949
36,017,970400,3123,+42.533844,-075.517653
36,017,970500,5683,+42.582083,-075.419688
36,017,970601,4225,+42.538959,-075.543904
36,017,970602,3948,+42.433342,-075.500305
36,017,970700,2397,+42.456883,-075.668566
36,017,970801,3921,+42.330675,-075.499146
36,017,970802,3721,+42.365257,-075.752456
36,017,970900,5058,+42.254169,-075.535148
36,017,971000,3635,+42.300030,-075.768116
36,019,100100,5754,+44.976545,-073.414213
36,019,100200,4284,+44.856028,-073.468004
36,019,100300,6479,+44.916449,-073.644044
36,019,100400,7378,+44.781185,-073.800857
36,019,100600,5545,+44.768649,-073.504218
36,019,100700,3475,+44.706631,-073.575909
36,019,100800,4731,+44.718905,-073.455146
36,019,100900,5128,+44.704876,-073.455365
36,019,101000,4128,+44.695865,-073.474579
36,019,101100,2608,+44.688954,-073.466904
36,019,101300,3008,+44.695115,-073.458186
36,019,101400,1919,+44.684993,-073.448014
36,019,101600,1544,+44.680239,-073.502529
36,019,101700,5181,+44.662531,-073.564063
36,019,101800,5504,+44.614437,-073.748992
36,019,101900,6998,+44.589193,-073.533190
36,019,102000,3146,+44.512541,-073.508447
36,019,102100,2120,+44.652148,-073.469234
36,019,102200,3198,+44.681055,-073.459437
36,021,000100,2305,+42.472133,-073.431077
36,021,000200,1710,+42.399787,-073.457944
36,021,000300,4128,+42.414600,-073.592658
36,021,000401,2356,+42.387889,-073.691274
36,021,000402,6142,+42.433274,-073.677922
36,021,000500,2027,+42.387540,-073.747124
36,021,000600,2815,+42.314536,-073.747739
36,021,000700,5402,+42.324231,-073.640323
36,021,000800,1654,+42.318357,-073.522134
36,021,000900,1927,+42.216539,-073.528995
36,021,001000,6021,+42.234325,-073.688324
36,021,001100,4165,+42.250440,-073.773154
36,021,001200,3475,+42.254022,-073.784604
36,021,001300,3238,+42.249366,-073.785373
36,021,001400,3646,+42.128669,-073.791992
36,021,001500,1310,+42.133701,-073.688360
36,021,001600,3615,+42.129276,-073.560923
36,021,001700,1573,+42.038455,-073.595963
36,021,001800,1668,+42.053070,-073.732758
36,021,001900,1965,+42.079683,-073.847430
36,021,002000,1954,+42.133269,-073.876788
